,tiltle,rating,review
0,Good product if Your budget is only 3000,3.0,"1.Display clearity is not as expected2. Battery performance is poor 2Days3. SPO2, Heart & Step counting is inaccurate.4.Looks & Build quality is awesome."
1,Good product at reasonable price,4.0,"Most functions (except Alexa) are working as expected.Pros1) larger screen and good UI2) App is goodCons:1) Display transitions are not that smooth2) Alexa interactions/commands fail almost 70-80% of time.3) when trying to enable data sync to Goggle fit getting warning that boat app is not trusted by Google. That needs immediate fix4) It calculates spo2 of couch as well. But compared the human readings of HR and Spo2 with other band (honor 5) and both are pretty much the same.5) With Realtime monitoring ON, battery goes only for 2.5 daysOVERALL HAPPY WITH THE DEVICE SO FAR"
2,Nice watch,4.0,I m not sure about data authentication but nice watchIn reasonable price
3,Don't buy it.,1.0,"It is a new product and it has so many bugs. I got this product on 9th July.on 21st, its display automatically turned into green lines. after 2 hours, it itself gets working. on 25th, again the same issue happened. I thought it will get working but today is 30th, it is giving no response.The given warranty claim number is not responding. I don't know what to do now.I want to return this watch. I would suggest you not to buy this watchPlease help me amazon and take some required actions!!"
4,Best Budget watch,5.0,"The media could not be loaded.
                



 Used this watch for over a month now.. Bought it during the first sale.. Keep reading for an unbiased review and tips/tricks to ensure all the functions in the watch are working smoothly.1) Large Curved  Display in this price category - 1.69 inch2) Battery with heavy usage and frequently waking up the screen, alexa, alarms, notifications is about 3 days. On standby  while just checking the time occassionally is about 8 days. Pretty good. Full charging time is about 1.5 hours. Decent quality magnetic charging cable provided. Use your own low power adapter, power bank or laptop.3) Has all the necessary health / workout tracking options.. Spo2( Oxymeter), Heart Rate monitor..Accuracy is 95-98%. Sleep tracking is pretty accurate too. Paedometer is accurate most of the times, but sometimes few hundred steps are added randomly without any activity. This happens randomly once in 3-4 days. Stress Monitor is also there but not sure how it's calculated. The sensors aren not fake most probably because if the watch isn't in contact with your skin it will display a warning message and won't display data.4) Lift to wake up gesture works but with a 1 second delay.. which is manageable. It has Tap to wake functionality too.5) Works with most popular notifications: Whatsapp, SMS, Facebook, Instagram etc. Can read the entire SMS on watch and most of the other messages unless it's very long.6) Calls can't be picked up or silenced.. You can only see the caller id and reject the call.7) BT Music Control, Weather ☁️ update and Alexa are other usable smart features.8) 50 different watch face are available on the Boat wave app. Some are really good.. You can also have customised wallpapers as watch faces . See the posted pictures.9) The Boat Wave app is neatly organized and syncs health data without any issues instantly. The app also has assisted GPS functionality which can track your running activities on a map, in case you need that data.10) The User Interface is smooth.. Please note that it's not laggy. The animations and transitions are a little slow but overall easy to use. Touch screen response is excellent and feels nice.11) Overall construction is sturdy and feels nice and comfortable to wear it. It has water resistance of 5 ATM.. Can take it for a short duration swim in a pool, under the shower or rain without any worries. Watch uppper body is brushed aluminium and under body is good quality plastic. The straps are soft and also of very good quality. It doesn't irritate your skin even after wearing it for long durations. Four colour options are available with equally matching straps.. Straps can be easily replaced with fancy straps.12 ) Works both with Android and iPhone flawlessly. Tested on both.TIPs AND TRICKs ________________________________________1) Boat wave app needs to run in the background all the time for your call notifications, message notifications, Alexa functionality and Weather updates. If you accidentally clear all the cache and background apps from the phone, the watch will disconnect from the phone after some time when idle ( no active inputs probably after 10-15 mins). Keep the boat wave app running in the background. Most people complaining that the watch frequently disconnected might unintentionally be clearing all the background apps. My watch was continuously connected for 4 straight days without me having to reconnect as long as the boat wave app was running in the background.2)  Alexa on this watch can do a lot of things..It can set your alarms, start the stopwatch, show weather, control Alexa based devices like Echo, wireless lights and AC, work as a simple calculator, translate simple/ short English sentences to German, Spanish, Italian, French and Portugese, get you common stock quotes from internet, can you snippets of general information from the internet in case you don't know something. Yes, Alexa on your watch getting you the information is a little slow, takes about 30 -40  seconds to process your request but it's convenient and better that taking out the phone from your pocket which might take similar amount of time or longer.  In my personal experience, Alexa works a little faster on Android as compared to iphone ( maybe 2-3 second difference). Also if there is break while speaking or if there is a long sentence, then it's difficult for Alexa to understand.. Check my video.. Keep it short and you should get the results accurately3) For Alexa to work properly: After connecting the Boat Wave app with an Amazon account, download the Alexa app and check your Xtend watch is visible under Devices option.4) To pickup and make calls handsfree without using the phone, just use a Bluetooth headset with voice assistant function. It will work as a charm. The speaker function on most smart watches is useless as it's not convenient for calls while  traveling or in a crowded place due to low volume and obviously you don't want everyone to hear your private conversation.. With voice assistant feature on your BT headset you can make a call or play music without having to touch your phone.Few  other functions which could have been provided and is missing. Actually available in many similarly priced devices :1) Torch 🔦 - Makes the display bright white.. Comes handy in darkness.2) Remote shutter button for camera.3) Call silencing option could have been added."
5,Problem with display,1.0,"The media could not be loaded.
                



 I had bought this watch on July 7th with high expectations.Didn't use it much. Its having display issue without any reason.Kindly accept the return and sort out the glitch."
6,Alexa is not working,1.0,I am unable to connect alexa through boat wave app. I try to connect with boat officials about this concern but no response. If you can't bring alexa in smartwatch why u put an feature for thid. Please don't buy
7,"Dissappointed. Alexa is an eye wash, SPO2 highly unreliable.",1.0,"Very ordinary watch. Packing looks like a cheap product. QR code couldn't be scanned, have to shift to manual app sync. SPO2 was erratic and was showing 88-90 when my oximeter showed 98. Alexa is a eye wash. Even after being a tech oriented person, I couldn't use that function as well. Overall disappointed."
8,Best Budget Fully loaded Smart Watch,5.0,"Boat xtend 1st review. Smart Watch working very smooth and comfortable n lite to wearIt's a fully loaded Watch except Inbuilt GPS you have most of the features available.Call Notification,  SMS Notification are working smooth.Health monitoring services shows accurate value ..you just need to keep your wrist still for few secs still it's complete it analysis.Music play is goodAlexa with limited commands display and respond back to your queries.Display quality is good but not the bestIt's a All-round budget Watch if you looking  for complete Smart Watch try one with Google Wear OS might cost you around 10 to 25 k or Apple Watch.Touch and Swiping Menu are smooth.I'm happy with this Watch because I got all the features I want. Brought this on launch day risk I took worth it. As we don't have better option other than Noise ,Amazefit n firebolt. Now we have boat in lineup."
9,SUPERB WATCH,5.0,"The media could not be loaded.
                



 My 1st Smartwatch from Boat.Bought in 1st Sale @2999HR & SpO2 Accuracy is top notch.Well built, feels sturdy in hand.USEFUL FEATURES/PROS -•1.69"" HD Super Bright Display.•Automatic Sports Mode Detection is superb.•HR & SpO2 Accuracy 90%. Checked with Omron & Oximeter.•Upto 7 watch faces in watch itselfCONS:•Lack of Always on Display.•No Camera Shutter option.•Minor lags in Watch UI, may b because i m using 90Hz display in phone.•Boat Wave App is laggy & crash quite often.FINAL VERDICT -GO FOR IT GUYS WITHOUT A 2nd Thought.Just Amazing product at this price. U wont regret. Thank me later."
10,Good product if Your budget is only 3000,3.0,"1.Display clearity is not as expected2. Battery performance is poor 2Days3. SPO2, Heart & Step counting is inaccurate.4.Looks & Build quality is awesome."
11,Good product at reasonable price,4.0,"Most functions (except Alexa) are working as expected.Pros1) larger screen and good UI2) App is goodCons:1) Display transitions are not that smooth2) Alexa interactions/commands fail almost 70-80% of time.3) when trying to enable data sync to Goggle fit getting warning that boat app is not trusted by Google. That needs immediate fix4) It calculates spo2 of couch as well. But compared the human readings of HR and Spo2 with other band (honor 5) and both are pretty much the same.5) With Realtime monitoring ON, battery goes only for 2.5 daysOVERALL HAPPY WITH THE DEVICE SO FAR"
12,Nice watch,4.0,I m not sure about data authentication but nice watchIn reasonable price
13,Don't buy it.,1.0,"It is a new product and it has so many bugs. I got this product on 9th July.on 21st, its display automatically turned into green lines. after 2 hours, it itself gets working. on 25th, again the same issue happened. I thought it will get working but today is 30th, it is giving no response.The given warranty claim number is not responding. I don't know what to do now.I want to return this watch. I would suggest you not to buy this watchPlease help me amazon and take some required actions!!"
14,Best Budget watch,5.0,"The media could not be loaded.
                



 Used this watch for over a month now.. Bought it during the first sale.. Keep reading for an unbiased review and tips/tricks to ensure all the functions in the watch are working smoothly.1) Large Curved  Display in this price category - 1.69 inch2) Battery with heavy usage and frequently waking up the screen, alexa, alarms, notifications is about 3 days. On standby  while just checking the time occassionally is about 8 days. Pretty good. Full charging time is about 1.5 hours. Decent quality magnetic charging cable provided. Use your own low power adapter, power bank or laptop.3) Has all the necessary health / workout tracking options.. Spo2( Oxymeter), Heart Rate monitor..Accuracy is 95-98%. Sleep tracking is pretty accurate too. Paedometer is accurate most of the times, but sometimes few hundred steps are added randomly without any activity. This happens randomly once in 3-4 days. Stress Monitor is also there but not sure how it's calculated. The sensors aren not fake most probably because if the watch isn't in contact with your skin it will display a warning message and won't display data.4) Lift to wake up gesture works but with a 1 second delay.. which is manageable. It has Tap to wake functionality too.5) Works with most popular notifications: Whatsapp, SMS, Facebook, Instagram etc. Can read the entire SMS on watch and most of the other messages unless it's very long.6) Calls can't be picked up or silenced.. You can only see the caller id and reject the call.7) BT Music Control, Weather ☁️ update and Alexa are other usable smart features.8) 50 different watch face are available on the Boat wave app. Some are really good.. You can also have customised wallpapers as watch faces . See the posted pictures.9) The Boat Wave app is neatly organized and syncs health data without any issues instantly. The app also has assisted GPS functionality which can track your running activities on a map, in case you need that data.10) The User Interface is smooth.. Please note that it's not laggy. The animations and transitions are a little slow but overall easy to use. Touch screen response is excellent and feels nice.11) Overall construction is sturdy and feels nice and comfortable to wear it. It has water resistance of 5 ATM.. Can take it for a short duration swim in a pool, under the shower or rain without any worries. Watch uppper body is brushed aluminium and under body is good quality plastic. The straps are soft and also of very good quality. It doesn't irritate your skin even after wearing it for long durations. Four colour options are available with equally matching straps.. Straps can be easily replaced with fancy straps.12 ) Works both with Android and iPhone flawlessly. Tested on both.TIPs AND TRICKs ________________________________________1) Boat wave app needs to run in the background all the time for your call notifications, message notifications, Alexa functionality and Weather updates. If you accidentally clear all the cache and background apps from the phone, the watch will disconnect from the phone after some time when idle ( no active inputs probably after 10-15 mins). Keep the boat wave app running in the background. Most people complaining that the watch frequently disconnected might unintentionally be clearing all the background apps. My watch was continuously connected for 4 straight days without me having to reconnect as long as the boat wave app was running in the background.2)  Alexa on this watch can do a lot of things..It can set your alarms, start the stopwatch, show weather, control Alexa based devices like Echo, wireless lights and AC, work as a simple calculator, translate simple/ short English sentences to German, Spanish, Italian, French and Portugese, get you common stock quotes from internet, can you snippets of general information from the internet in case you don't know something. Yes, Alexa on your watch getting you the information is a little slow, takes about 30 -40  seconds to process your request but it's convenient and better that taking out the phone from your pocket which might take similar amount of time or longer.  In my personal experience, Alexa works a little faster on Android as compared to iphone ( maybe 2-3 second difference). Also if there is break while speaking or if there is a long sentence, then it's difficult for Alexa to understand.. Check my video.. Keep it short and you should get the results accurately3) For Alexa to work properly: After connecting the Boat Wave app with an Amazon account, download the Alexa app and check your Xtend watch is visible under Devices option.4) To pickup and make calls handsfree without using the phone, just use a Bluetooth headset with voice assistant function. It will work as a charm. The speaker function on most smart watches is useless as it's not convenient for calls while  traveling or in a crowded place due to low volume and obviously you don't want everyone to hear your private conversation.. With voice assistant feature on your BT headset you can make a call or play music without having to touch your phone.Few  other functions which could have been provided and is missing. Actually available in many similarly priced devices :1) Torch 🔦 - Makes the display bright white.. Comes handy in darkness.2) Remote shutter button for camera.3) Call silencing option could have been added."
15,Problem with display,1.0,"The media could not be loaded.
                



 I had bought this watch on July 7th with high expectations.Didn't use it much. Its having display issue without any reason.Kindly accept the return and sort out the glitch."
16,Alexa is not working,1.0,I am unable to connect alexa through boat wave app. I try to connect with boat officials about this concern but no response. If you can't bring alexa in smartwatch why u put an feature for thid. Please don't buy
17,"Dissappointed. Alexa is an eye wash, SPO2 highly unreliable.",1.0,"Very ordinary watch. Packing looks like a cheap product. QR code couldn't be scanned, have to shift to manual app sync. SPO2 was erratic and was showing 88-90 when my oximeter showed 98. Alexa is a eye wash. Even after being a tech oriented person, I couldn't use that function as well. Overall disappointed."
18,Best Budget Fully loaded Smart Watch,5.0,"Boat xtend 1st review. Smart Watch working very smooth and comfortable n lite to wearIt's a fully loaded Watch except Inbuilt GPS you have most of the features available.Call Notification,  SMS Notification are working smooth.Health monitoring services shows accurate value ..you just need to keep your wrist still for few secs still it's complete it analysis.Music play is goodAlexa with limited commands display and respond back to your queries.Display quality is good but not the bestIt's a All-round budget Watch if you looking  for complete Smart Watch try one with Google Wear OS might cost you around 10 to 25 k or Apple Watch.Touch and Swiping Menu are smooth.I'm happy with this Watch because I got all the features I want. Brought this on launch day risk I took worth it. As we don't have better option other than Noise ,Amazefit n firebolt. Now we have boat in lineup."
19,SUPERB WATCH,5.0,"The media could not be loaded.
                



 My 1st Smartwatch from Boat.Bought in 1st Sale @2999HR & SpO2 Accuracy is top notch.Well built, feels sturdy in hand.USEFUL FEATURES/PROS -•1.69"" HD Super Bright Display.•Automatic Sports Mode Detection is superb.•HR & SpO2 Accuracy 90%. Checked with Omron & Oximeter.•Upto 7 watch faces in watch itselfCONS:•Lack of Always on Display.•No Camera Shutter option.•Minor lags in Watch UI, may b because i m using 90Hz display in phone.•Boat Wave App is laggy & crash quite often.FINAL VERDICT -GO FOR IT GUYS WITHOUT A 2nd Thought.Just Amazing product at this price. U wont regret. Thank me later."
20,Good product if Your budget is only 3000,3.0,"1.Display clearity is not as expected2. Battery performance is poor 2Days3. SPO2, Heart & Step counting is inaccurate.4.Looks & Build quality is awesome."
21,Good product at reasonable price,4.0,"Most functions (except Alexa) are working as expected.Pros1) larger screen and good UI2) App is goodCons:1) Display transitions are not that smooth2) Alexa interactions/commands fail almost 70-80% of time.3) when trying to enable data sync to Goggle fit getting warning that boat app is not trusted by Google. That needs immediate fix4) It calculates spo2 of couch as well. But compared the human readings of HR and Spo2 with other band (honor 5) and both are pretty much the same.5) With Realtime monitoring ON, battery goes only for 2.5 daysOVERALL HAPPY WITH THE DEVICE SO FAR"
22,Nice watch,4.0,I m not sure about data authentication but nice watchIn reasonable price
23,Don't buy it.,1.0,"It is a new product and it has so many bugs. I got this product on 9th July.on 21st, its display automatically turned into green lines. after 2 hours, it itself gets working. on 25th, again the same issue happened. I thought it will get working but today is 30th, it is giving no response.The given warranty claim number is not responding. I don't know what to do now.I want to return this watch. I would suggest you not to buy this watchPlease help me amazon and take some required actions!!"
24,Best Budget watch,5.0,"The media could not be loaded.
                



 Used this watch for over a month now.. Bought it during the first sale.. Keep reading for an unbiased review and tips/tricks to ensure all the functions in the watch are working smoothly.1) Large Curved  Display in this price category - 1.69 inch2) Battery with heavy usage and frequently waking up the screen, alexa, alarms, notifications is about 3 days. On standby  while just checking the time occassionally is about 8 days. Pretty good. Full charging time is about 1.5 hours. Decent quality magnetic charging cable provided. Use your own low power adapter, power bank or laptop.3) Has all the necessary health / workout tracking options.. Spo2( Oxymeter), Heart Rate monitor..Accuracy is 95-98%. Sleep tracking is pretty accurate too. Paedometer is accurate most of the times, but sometimes few hundred steps are added randomly without any activity. This happens randomly once in 3-4 days. Stress Monitor is also there but not sure how it's calculated. The sensors aren not fake most probably because if the watch isn't in contact with your skin it will display a warning message and won't display data.4) Lift to wake up gesture works but with a 1 second delay.. which is manageable. It has Tap to wake functionality too.5) Works with most popular notifications: Whatsapp, SMS, Facebook, Instagram etc. Can read the entire SMS on watch and most of the other messages unless it's very long.6) Calls can't be picked up or silenced.. You can only see the caller id and reject the call.7) BT Music Control, Weather ☁️ update and Alexa are other usable smart features.8) 50 different watch face are available on the Boat wave app. Some are really good.. You can also have customised wallpapers as watch faces . See the posted pictures.9) The Boat Wave app is neatly organized and syncs health data without any issues instantly. The app also has assisted GPS functionality which can track your running activities on a map, in case you need that data.10) The User Interface is smooth.. Please note that it's not laggy. The animations and transitions are a little slow but overall easy to use. Touch screen response is excellent and feels nice.11) Overall construction is sturdy and feels nice and comfortable to wear it. It has water resistance of 5 ATM.. Can take it for a short duration swim in a pool, under the shower or rain without any worries. Watch uppper body is brushed aluminium and under body is good quality plastic. The straps are soft and also of very good quality. It doesn't irritate your skin even after wearing it for long durations. Four colour options are available with equally matching straps.. Straps can be easily replaced with fancy straps.12 ) Works both with Android and iPhone flawlessly. Tested on both.TIPs AND TRICKs ________________________________________1) Boat wave app needs to run in the background all the time for your call notifications, message notifications, Alexa functionality and Weather updates. If you accidentally clear all the cache and background apps from the phone, the watch will disconnect from the phone after some time when idle ( no active inputs probably after 10-15 mins). Keep the boat wave app running in the background. Most people complaining that the watch frequently disconnected might unintentionally be clearing all the background apps. My watch was continuously connected for 4 straight days without me having to reconnect as long as the boat wave app was running in the background.2)  Alexa on this watch can do a lot of things..It can set your alarms, start the stopwatch, show weather, control Alexa based devices like Echo, wireless lights and AC, work as a simple calculator, translate simple/ short English sentences to German, Spanish, Italian, French and Portugese, get you common stock quotes from internet, can you snippets of general information from the internet in case you don't know something. Yes, Alexa on your watch getting you the information is a little slow, takes about 30 -40  seconds to process your request but it's convenient and better that taking out the phone from your pocket which might take similar amount of time or longer.  In my personal experience, Alexa works a little faster on Android as compared to iphone ( maybe 2-3 second difference). Also if there is break while speaking or if there is a long sentence, then it's difficult for Alexa to understand.. Check my video.. Keep it short and you should get the results accurately3) For Alexa to work properly: After connecting the Boat Wave app with an Amazon account, download the Alexa app and check your Xtend watch is visible under Devices option.4) To pickup and make calls handsfree without using the phone, just use a Bluetooth headset with voice assistant function. It will work as a charm. The speaker function on most smart watches is useless as it's not convenient for calls while  traveling or in a crowded place due to low volume and obviously you don't want everyone to hear your private conversation.. With voice assistant feature on your BT headset you can make a call or play music without having to touch your phone.Few  other functions which could have been provided and is missing. Actually available in many similarly priced devices :1) Torch 🔦 - Makes the display bright white.. Comes handy in darkness.2) Remote shutter button for camera.3) Call silencing option could have been added."
25,Problem with display,1.0,"The media could not be loaded.
                



 I had bought this watch on July 7th with high expectations.Didn't use it much. Its having display issue without any reason.Kindly accept the return and sort out the glitch."
26,Alexa is not working,1.0,I am unable to connect alexa through boat wave app. I try to connect with boat officials about this concern but no response. If you can't bring alexa in smartwatch why u put an feature for thid. Please don't buy
27,"Dissappointed. Alexa is an eye wash, SPO2 highly unreliable.",1.0,"Very ordinary watch. Packing looks like a cheap product. QR code couldn't be scanned, have to shift to manual app sync. SPO2 was erratic and was showing 88-90 when my oximeter showed 98. Alexa is a eye wash. Even after being a tech oriented person, I couldn't use that function as well. Overall disappointed."
28,Best Budget Fully loaded Smart Watch,5.0,"Boat xtend 1st review. Smart Watch working very smooth and comfortable n lite to wearIt's a fully loaded Watch except Inbuilt GPS you have most of the features available.Call Notification,  SMS Notification are working smooth.Health monitoring services shows accurate value ..you just need to keep your wrist still for few secs still it's complete it analysis.Music play is goodAlexa with limited commands display and respond back to your queries.Display quality is good but not the bestIt's a All-round budget Watch if you looking  for complete Smart Watch try one with Google Wear OS might cost you around 10 to 25 k or Apple Watch.Touch and Swiping Menu are smooth.I'm happy with this Watch because I got all the features I want. Brought this on launch day risk I took worth it. As we don't have better option other than Noise ,Amazefit n firebolt. Now we have boat in lineup."
29,SUPERB WATCH,5.0,"The media could not be loaded.
                



 My 1st Smartwatch from Boat.Bought in 1st Sale @2999HR & SpO2 Accuracy is top notch.Well built, feels sturdy in hand.USEFUL FEATURES/PROS -•1.69"" HD Super Bright Display.•Automatic Sports Mode Detection is superb.•HR & SpO2 Accuracy 90%. Checked with Omron & Oximeter.•Upto 7 watch faces in watch itselfCONS:•Lack of Always on Display.•No Camera Shutter option.•Minor lags in Watch UI, may b because i m using 90Hz display in phone.•Boat Wave App is laggy & crash quite often.FINAL VERDICT -GO FOR IT GUYS WITHOUT A 2nd Thought.Just Amazing product at this price. U wont regret. Thank me later."
30,Good product if Your budget is only 3000,3.0,"1.Display clearity is not as expected2. Battery performance is poor 2Days3. SPO2, Heart & Step counting is inaccurate.4.Looks & Build quality is awesome."
31,Good product at reasonable price,4.0,"Most functions (except Alexa) are working as expected.Pros1) larger screen and good UI2) App is goodCons:1) Display transitions are not that smooth2) Alexa interactions/commands fail almost 70-80% of time.3) when trying to enable data sync to Goggle fit getting warning that boat app is not trusted by Google. That needs immediate fix4) It calculates spo2 of couch as well. But compared the human readings of HR and Spo2 with other band (honor 5) and both are pretty much the same.5) With Realtime monitoring ON, battery goes only for 2.5 daysOVERALL HAPPY WITH THE DEVICE SO FAR"
32,Nice watch,4.0,I m not sure about data authentication but nice watchIn reasonable price
33,Don't buy it.,1.0,"It is a new product and it has so many bugs. I got this product on 9th July.on 21st, its display automatically turned into green lines. after 2 hours, it itself gets working. on 25th, again the same issue happened. I thought it will get working but today is 30th, it is giving no response.The given warranty claim number is not responding. I don't know what to do now.I want to return this watch. I would suggest you not to buy this watchPlease help me amazon and take some required actions!!"
